age,uk
-8448.0,0.9670000000000001
-8700.0,0.966
-8974.0,0.9590000000000001
-9184.0,0.956
-9399.0,0.9490000000000001
-9644.0,0.9420000000000001
-9886.0,0.94
-10126.0,0.935
-10500.0,0.938
-10616.0,0.94
-10738.0,0.938
-10854.0,0.941
-10976.0,0.9470000000000001
-11096.0,0.9470000000000001
-11217.0,0.9420000000000001
-11336.0,0.94
-11452.0,0.946
-11576.0,0.943
-11700.0,0.929
-11824.0,0.925
-11946.0,0.924
-12063.0,0.927
-12184.0,0.9209999999999999
-12307.0,0.9279999999999999
-12429.0,0.917
-12543.0,0.9179999999999999
-12787.0,0.912
-13040.0,0.92
-13285.0,0.9209999999999999
-13533.0,0.92
-13764.0,0.915
-13989.0,0.9109999999999999
-14200.0,0.9109999999999999
-14412.0,0.9109999999999999
-14621.0,0.9079999999999999
-14819.0,0.9079999999999999
-15003.0,0.904
-15191.0,0.9059999999999999
-15381.0,0.914
-15576.0,0.922
-15781.0,0.9179999999999999
-15987.0,0.92
-16182.0,0.9229999999999999
-16378.0,0.924
-16572.0,0.924
-16760.0,0.9259999999999999
-16952.0,0.9229999999999999
-17157.0,0.9229999999999999
-17157.0,0.9229999999999999
-17157.0,0.9229999999999999
-17157.0,0.9229999999999999
-17157.0,0.9229999999999999
-17157.0,0.9229999999999999
-17157.0,0.9229999999999999
-17157.0,0.9229999999999999
-17356.0,0.919
-17557.0,0.9229999999999999
-17751.0,0.9279999999999999
-17956.0,0.925
-18153.0,0.92
-18358.0,0.919
