depth,age,uk37
1.25,-18,0.986
7.5,58,0.967
11.5,120,0.965
16.5,262,0.968
21.5,389,0.968
28.5,539,0.972
34.5,634,0.966
42.5,737,0.975
48.5,771,0.972
58.5,890,0.973
71.5,1151,0.975
103.5,1854,0.972
128.5,2274,0.966
148.5,2730,0.968
164.5,3183,0.956
170.5,3331,0.965
178.5,3527,0.96
180.5,3574,0.968
188.5,3795,0.961
192.5,3914,0.96
196.5,4032,0.96
200.5,4140,0.963
210.5,4393,0.963
220.5,4643,0.96
224.5,4732,0.958
228.5,4822,0.956
232.5,4912,0.968
236.5,5004,0.962
240.5,5096,0.967
250.5,5325,0.964
260.5,5546,0.963
270.5,5724,0.971
280.5,5913,0.969
288.5,6065,0.954
296.5,6217,0.966
300.5,6294,0.967
320.5,6674,0.963
340.5,7051,0.95
360.5,7734,0.939
380.5,8441,0.949
400.5,9146,0.958
412.5,9566,0.95
420.5,9831,0.948
428.5,10003,0.948
434.5,10134,0.95
440.5,10266,0.952
460.5,10687,0.948
470.5,11050,0.948
480.5,11419,0.946
484.5,11568,0.942
488.5,11717,0.939
492.5,11865,0.937
496.5,12014,0.94
500.5,12161,0.936
510.5,12532,0.936
520.5,12883,0.934
530.5,13203,0.937
540.5,13535,0.936
550.5,13863,0.934
560.5,14165,0.934
564.5,14564,0.933
568.5,14985,0.933
572.5,15407,0.934
576.5,15825,0.926
580.5,16187,0.926
590.5,16979,0.917
600.5,17767,0.906
610.5,18134,0.9
620.5,18509,0.893
640.5,19241,0.909
660.5,21911,0.906
680.5,24548,0.902
690.5,25535,0.911
700.5,26504,0.908
710.5,27009,0.897
720.5,27522,0.901
730.5,28041,0.922
740.5,28558,0.912
750.5,29075,0.922
760.5,29596,0.912
770.5,30115,0.918
780.5,30635,0.91
800.5,31488,0.915
810.5,31928,0.926
820.5,32370,0.923
840.5,33264,0.908
850.5,33872,0.923
860.5,34500,0.922
870.5,35132,0.923
880.5,35764,0.909
890.5,36388,0.907
900.5,37001,0.893
910.5,37413,0.902
920.5,37827,0.908
930.5,38242,0.91
940.5,38657,0.901
960.5,39485,0.893
